,send_time,recv_time
0,1701361245.2179077,1701361245.4241872
1,1701361245.2328722,1701361245.4401462
2,1701361245.2478206,1701361245.454112
3,1701361245.2637823,1701361245.469068
4,1701361245.2797363,1701361245.4860272
5,1701361245.2956927,1701361245.4999847
6,1701361245.3116515,1701361245.5159428
7,1701361245.3276093,1701361245.5358963
8,1701361245.343572,1701361245.5468626
9,1701361245.3587062,1701361245.563441
10,1701361245.374325,1701361245.5839489
11,1701361245.392275,1701361245.607661
12,1701361245.4072392,1701361245.6136396
13,1701361245.4231937,1701361245.6276019
14,1701361245.4401462,1701361245.657874
15,1701361245.454112,1701361245.6734717
16,1701361245.470066,1701361245.6909933
17,1701361245.4860272,1701361245.7038815
18,1701361245.5009851,1701361245.7229016
19,1701361245.5169413,1701361245.7439382
20,1701361245.5319018,1701361245.7539396
21,1701361245.5478585,1701361245.7709002
22,1701361245.563441,1701361245.7848513
23,1701361245.5789473,1701361245.7988095
24,1701361245.5946953,1701361245.8077838
25,1701361245.6116421,1701361245.8297255
26,1701361245.6266046,1701361245.8456826
27,1701361245.6419208,1701361245.8602068
28,1701361245.657874,1701361245.8761635
29,1701361245.6734717,1701361245.8941157
30,1701361245.6899168,1701361245.9080777
31,1701361245.7048829,1701361245.9240358
32,1701361245.7229016,1701361245.9429858
33,1701361245.7379456,1701361245.9460473
34,1701361245.7539396,1701361245.9719102
35,1701361245.7698975,1701361245.9768925
36,1701361245.7848513,1701361245.9918664
37,1701361245.8008068,1701361246.0118005
38,1701361245.8167598,1701361246.0326838
39,1701361245.83272,1701361246.047647
40,1701361245.8476777,1701361246.0618615
41,1701361245.8631997,1701361246.0789824
42,1701361245.8791556,1701361246.0950434
43,1701361245.8951132,1701361246.1100512
44,1701361245.910072,1701361246.1322331
45,1701361245.9260287,1701361246.1541767
46,1701361245.9419868,1701361246.155169
47,1701361245.957944,1701361246.174879
48,1701361245.9739027,1701361246.1798644
49,1701361245.9898665,1701361246.1948256
50,1701361246.005816,1701361246.214771
51,1701361246.0237744,1701361246.243697
52,1701361246.0376694,1701361246.2646368
53,1701361246.0536475,1701361246.2925665
54,1701361246.068866,1701361246.2925665
55,1701361246.0848699,1701361246.348413
56,1701361246.100944,1701361246.348413
57,1701361246.1222658,1701361246.348413
58,1701361246.1322331,1701361246.3970096
59,1701361246.1481872,1701361246.3970096
60,1701361246.1619492,1701361246.3970096
61,1701361246.1778703,1701361246.4519806
62,1701361246.1928322,1701361246.4519806
63,1701361246.2087934,1701361246.4519806
64,1701361246.2247498,1701361246.4519806
65,1701361246.242719,1701361246.4519806
66,1701361246.2576654,1701361246.4799514
67,1701361246.2925665,1701361246.5138562
68,1701361246.3135066,1701361246.5760374
69,1701361246.348413,1701361246.6109407
70,1701361246.3629284,1701361246.6458468
71,1701361246.3970096,1701361246.6458468
72,1701361246.4124727,1701361246.665646
73,1701361246.4519806,1701361246.665646
74,1701361246.4719706,1701361246.6870449
75,1701361246.4769595,1701361246.6980116
76,1701361246.4919162,1701361246.7139735
77,1701361246.5078795,1701361246.7139735
78,1701361246.5238378,1701361246.7448032
79,1701361246.539796,1701361246.7458024
80,1701361246.5550911,1701361246.759942
81,1701361246.5720453,1701361246.7813053
82,1701361246.6099522,1701361246.8229735
83,1701361246.6209123,1701361246.840919
84,1701361246.6348782,1701361246.840919
85,1701361246.6522646,1701361246.8708358
86,1701361246.665646,1701361246.8858075
87,1701361246.681115,1701361246.9041693
88,1701361246.6980116,1701361246.923808
89,1701361246.712969,1701361246.9386146
90,1701361246.7281075,1701361246.947969
91,1701361246.743794,1701361246.9637525
92,1701361246.7589357,1701361246.9807074
93,1701361246.7753835,1701361247.0258884
94,1701361246.8219736,1701361247.0427053
95,1701361246.8359385,1701361247.0427053
96,1701361246.8538802,1701361247.0744941
97,1701361246.8698423,1701361247.0951726
98,1701361246.8858075,1701361247.112114
99,1701361246.8991845,1701361247.1280725
100,1701361246.9228106,1701361247.1639738
101,1701361246.9306054,1701361247.1639738
102,1701361246.9459534,1701361247.1749458
103,1701361246.9617612,1701361247.1809282
104,1701361246.9777129,1701361247.1958911
105,1701361246.9929554,1701361247.2148407
106,1701361247.0089347,1701361247.2148407
107,1701361247.0258884,1701361247.2447584
108,1701361247.039844,1701361247.2447584
109,1701361247.0568228,1701361247.275745
110,1701361247.0714974,1701361247.2906358
111,1701361247.094164,1701361247.3141906
112,1701361247.1101184,1701361247.32993
113,1701361247.1270723,1701361247.3451483
114,1701361247.1609833,1701361247.390996
115,1701361247.173947,1701361247.390996
116,1701361247.1819253,1701361247.4038699
117,1701361247.1968875,1701361247.425888
118,1701361247.2128441,1701361247.4378538
119,1701361247.228801,1701361247.4480808
120,1701361247.2437606,1701361247.4658248
121,1701361247.2597208,1701361247.4809308
122,1701361247.275745,1701361247.4964502
123,1701361247.291633,1701361247.5141208
124,1701361247.3075972,1701361247.529084
125,1701361247.3226762,1701361247.5410473
126,1701361247.3379319,1701361247.559766
127,1701361247.3541584,1701361247.5769858
128,1701361247.370791,1701361247.5769858
129,1701361247.390996,1701361247.6124709
130,1701361247.4038699,1701361247.624441
131,1701361247.4158978,1701361247.638405
132,1701361247.432882,1701361247.6531887
133,1701361247.4470835,1701361247.6744883
134,1701361247.4638288,1701361247.6894324
135,1701361247.4789305,1701361247.7049606
136,1701361247.494451,1701361247.715286
137,1701361247.509139,1701361247.7329466
138,1701361247.526104,1701361247.7441082
139,1701361247.5410473,1701361247.76338
140,1701361247.5567605,1701361247.779982
141,1701361247.5718594,1701361247.7979314
142,1701361247.5925283,1701361247.8138866
143,1701361247.6124709,1701361247.824852
144,1701361247.6224449,1701361247.8408043
145,1701361247.636407,1701361247.8547986
146,1701361247.6531887,1701361247.8727195
147,1701361247.6724946,1701361247.8879843
148,1701361247.6884415,1701361247.9052718
149,1701361247.698966,1701361247.9253716
150,1701361247.7142828,1701361247.9415674
151,1701361247.7309535,1701361247.9499068
152,1701361247.7441082,1701361247.9688344
153,1701361247.7593668,1701361247.9826636
154,1701361247.776006,1701361247.9978912
155,1701361247.7909453,1701361248.0148919
156,1701361247.8069131,1701361248.0278492
157,1701361247.8228567,1701361248.0466268
158,1701361247.838817,1701361248.0615091
159,1701361247.8537712,1701361248.0771914
160,1701361247.871723,1701361248.0938764
161,1701361247.8869867,1701361248.1105428
162,1701361247.9002852,1701361248.1262312
163,1701361247.9233582,1701361248.1406865
164,1701361247.9315798,1701361248.1572473
165,1701361247.9469373,1701361248.1719146
166,1701361247.96384,1701361248.182887
167,1701361247.9786644,1701361248.198842
168,1701361247.994897,1701361248.2148037
169,1701361248.0089507,1701361248.229759
170,1701361248.0248542,1701361248.2477129
171,1701361248.0426466,1701361248.261676
172,1701361248.0575202,1701361248.2766337
173,1701361248.0722063,1701361248.2935884
174,1701361248.089875,1701361248.3135345
175,1701361248.104561,1701361248.3255029
176,1701361248.1212435,1701361248.3414617
177,1701361248.1416843,1701361248.3574176
178,1701361248.154272,1701361248.3743823
179,1701361248.1659327,1701361248.392329
180,1701361248.181891,1701361248.405296
181,1701361248.1978443,1701361248.4162626
182,1701361248.2138052,1701361248.4312203
183,1701361248.229759,1701361248.4481778
184,1701361248.2457163,1701361248.4645932
185,1701361248.260677,1701361248.4815862
186,1701361248.2756364,1701361248.5001848
187,1701361248.291593,1701361248.515147
188,1701361248.3135345,1701361248.528108
189,1701361248.3255029,1701361248.5430672
190,1701361248.3414617,1701361248.5600214
191,1701361248.3574176,1701361248.575958
192,1701361248.3743823,1701361248.595164
193,1701361248.392329,1701361248.6110487
194,1701361248.4062927,1701361248.6225884
195,1701361248.4172626,1701361248.642361
196,1701361248.432218,1701361248.6566548
197,1701361248.4471786,1701361248.6729374
198,1701361248.463139,1701361248.6878922
199,1701361248.478577,1701361248.6988595
200,1701361248.4952028,1701361248.7128232
201,1701361248.5101633,1701361248.7297761
202,1701361248.5251188,1701361248.7473068
203,1701361248.5410788,1701361248.7612681
204,1701361248.557031,1701361248.7762284
205,1701361248.5735452,1701361248.7931855
206,1701361248.5902193,1701361248.8091397
207,1701361248.6059167,1701361248.8260987
208,1701361248.6235814,1701361248.8430517
209,1701361248.6413631,1701361248.8580089
210,1701361248.6566548,1701361248.872969
211,1701361248.6669538,1701361248.889925
212,1701361248.6889055,1701361248.8999145
213,1701361248.6978633,1701361248.9155447
214,1701361248.71382,1701361248.9324992
215,1701361248.7297761,1701361248.9475465
216,1701361248.7453532,1701361248.9635036
217,1701361248.7612681,1701361248.980457
218,1701361248.7772248,1701361248.9958723
219,1701361248.7931855,1701361249.0138807
220,1701361248.8091397,1701361249.0302231
221,1701361248.824103,1701361249.043567
222,1701361248.8410542,1701361249.0613568
223,1701361248.8560154,1701361249.079873
224,1701361248.872969,1701361249.094926
225,1701361248.8889344,1701361249.1108685
226,1701361248.9039128,1701361249.1238332
227,1701361248.920539,1701361249.1368015
228,1701361248.9365783,1701361249.1503446
229,1701361248.9535413,1701361249.1758747
230,1701361248.9674919,1701361249.1828573
231,1701361248.9834495,1701361249.3275154
232,1701361248.9989119,1701361249.3315027
233,1701361249.014882,1701361249.3315027
234,1701361249.0302231,1701361249.341991
235,1701361249.0455778,1701361249.3433735
236,1701361249.0613568,1701361249.3452814
237,1701361249.0769002,1701361249.346278
238,1701361249.09292,1701361249.347278
239,1701361249.1108685,1701361249.3482885
240,1701361249.124834,1701361249.34928
241,1701361249.138791,1701361249.3622496
242,1701361249.1599228,1701361249.378214
243,1701361249.17488,1701361249.3902051
244,1701361249.1908343,1701361249.4929075
245,1701361249.3275154,1701361249.5378702
246,1701361249.3433735,1701361249.5665286
247,1701361249.3612468,1701361249.5802357
248,1701361249.3772173,1701361249.593549
249,1701361249.3902051,1701361249.6189854
250,1701361249.408133,1701361249.6319535
251,1701361249.418102,1701361249.6319535
252,1701361249.4330637,1701361249.6419032
253,1701361249.4490216,1701361249.655645
254,1701361249.479942,1701361249.6969528
255,1701361249.4968965,1701361249.7198966
256,1701361249.5128558,1701361249.7198966
257,1701361249.5280285,1701361249.7329314
258,1701361249.543566,1701361249.7659416
259,1701361249.5595422,1701361249.7659416
260,1701361249.5752437,1701361249.7960594
261,1701361249.590713,1701361249.8177018
262,1701361249.6089747,1701361249.831649
263,1701361249.6219602,1701361249.8446202
264,1701361249.6409216,1701361249.8571835
265,1701361249.6536527,1701361249.879815
266,1701361249.6739252,1701361249.9438007
267,1701361249.6843295,1701361249.9438007
268,1701361249.6999416,1701361249.9438007
269,1701361249.7158966,1701361249.9438007
270,1701361249.731929,1701361249.961754
271,1701361249.748338,1701361249.976315
272,1701361249.7629426,1701361249.9842985
273,1701361249.7794173,1701361249.9982512
274,1701361249.794046,1701361250.0152056
275,1701361249.8117154,1701361250.0313659
276,1701361249.8286557,1701361250.046197
277,1701361249.8426166,1701361250.0598807
278,1701361249.8571835,1701361250.0815573
279,1701361249.876817,1701361250.1070378
280,1701361249.9438007,1701361250.1479986
281,1701361249.9577658,1701361250.1836102
282,1701361249.976315,1701361250.2045524
283,1701361249.9842985,1701361250.2045524
284,1701361250.0002446,1701361250.2205133
285,1701361250.0142086,1701361250.23248
286,1701361250.0293632,1701361250.2484336
287,1701361250.045198,1701361250.2623973
288,1701361250.0608828,1701361250.2813456
289,1701361250.0785644,1701361250.297303
290,1701361250.0942476,1701361250.3092747
291,1701361250.1080348,1701361250.3292184
292,1701361250.1240106,1701361250.3471692
293,1701361250.1382985,1701361250.3551517
294,1701361250.154939,1701361250.3810792
295,1701361250.1706545,1701361250.388063
296,1701361250.1945786,1701361250.4219701
297,1701361250.2015593,1701361250.4219701
298,1701361250.2175186,1701361250.4379287
299,1701361250.2334747,1701361250.450954
300,1701361250.2484336,1701361250.4648573
301,1701361250.2633939,1701361250.4826653
302,1701361250.2793517,1701361250.5004857
303,1701361250.2953076,1701361250.5124521
304,1701361250.3122623,1701361250.5314028
305,1701361250.328221,1701361250.5463629
306,1701361250.3461726,1701361250.559332
307,1701361250.3591425,1701361250.579894
308,1701361250.3750982,1701361250.5908775
309,1701361250.391067,1701361250.612806
310,1701361250.4080088,1701361250.62777
311,1701361250.4219701,1701361250.6397347
312,1701361250.4389253,1701361250.6557078
313,1701361250.4548934,1701361250.6676624
314,1701361250.4708428,1701361250.6846457
315,1701361250.484664,1701361250.7055593
316,1701361250.5004857,1701361250.7145355
317,1701361250.5164409,1701361250.733987
318,1701361250.5314028,1701361250.7499433
319,1701361250.5473614,1701361250.7600176
320,1701361250.5623205,1701361250.7808902
321,1701361250.578897,1701361250.7937915
322,1701361250.5938613,1701361250.8143904
323,1701361250.6098926,1701361250.828077
324,1701361250.62777,1701361250.8437557
325,1701361250.6417313,1701361250.8604362
326,1701361250.6576905,1701361250.8733983
327,1701361250.6736639,1701361250.8913534
328,1701361250.6896005,1701361250.9114654
329,1701361250.7055593,1701361250.9166179
330,1701361250.7210336,1701361250.938684
331,1701361250.737982,1701361250.9541795
332,1701361250.7539377,1701361250.9631555
